iter	RMSE
0	0.5145172691
1	0.495450873
2	0.4766460581
3	0.4591250652
4	0.4452796713
5	0.4303182182
6	0.4171424393
7	0.405039171
8	0.3961377633
9	0.3875237927
10	0.3799240306
11	0.3729606227
12	0.3658873324
13	0.3610994223
14	0.354476475
15	0.3496650763
16	0.3451022364
17	0.3416223332
18	0.3385638761
19	0.3347415672
20	0.3317081412
21	0.329010708
22	0.3259726248
23	0.3243388086
24	0.3221461603
25	0.3196632882
26	0.3174903624
27	0.3158447243
28	0.3136263817
29	0.3123629397
30	0.3105763329
31	0.3095824584
32	0.3074228096
33	0.3051776011
34	0.3030417921
35	0.3019668862
36	0.3007634609
37	0.2994055908
38	0.2985346553
39	0.2967611847
40	0.2948543124
41	0.2929739257
42	0.2914569647
43	0.2901812064
44	0.2889436103
45	0.2880900968
46	0.2875380451
47	0.2869607011
48	0.2858808247
49	0.2852302971
50	0.2845352744
51	0.2838129317
52	0.2831839527
53	0.2821088525
54	0.2808101429
55	0.2801864208
56	0.2793842223
57	0.2778846202
58	0.2768487082
59	0.2745256404
60	0.2735467982
61	0.2729636893
62	0.2719110165
63	0.2711359963
64	0.2704420042
65	0.2700694732
66	0.2693775558
67	0.2688697846
68	0.2686850519
69	0.2674430261
70	0.2666479143
71	0.2662937342
72	0.2655558854
73	0.2648164245
74	0.2628221765
75	0.2619295455
76	0.2614035686
77	0.2595979999
78	0.257610944
79	0.2570374374
80	0.2544412873
81	0.2539285727
82	0.2531555828
83	0.2527996429
84	0.2521918418
85	0.2518468379
86	0.2506413361
87	0.2493476361
88	0.2468641265
89	0.2464065661
90	0.2457851147
91	0.2454752422
92	0.2441539509
93	0.2429098392
94	0.2405552829
95	0.2390690327
96	0.2382484988
97	0.2376075803
98	0.23656508
99	0.2359449787
