iter	Passed	Remaining
0	20	2066
1	42	2063
2	54	1772
3	77	1870
4	96	1841
5	116	1831
6	136	1815
7	157	1808
8	178	1803
9	199	1794
10	225	1827
11	249	1832
12	271	1815
13	296	1822
14	327	1855
15	352	1850
16	383	1870
17	405	1848
18	426	1819
19	447	1791
20	469	1764
21	489	1736
22	510	1709
23	532	1685
24	552	1658
25	575	1637
26	595	1611
27	617	1587
28	638	1562
29	661	1543
30	683	1520
31	704	1497
32	725	1473
33	748	1452
34	770	1431
35	791	1407
36	812	1383
37	836	1364
38	859	1343
39	881	1321
40	902	1298
41	924	1277
42	944	1251
43	966	1230
44	988	1208
45	998	1171
46	1021	1151
47	1037	1124
48	1063	1107
49	1090	1090
50	1113	1069
51	1134	1047
52	1159	1028
53	1182	1007
54	1207	987
55	1235	970
56	1257	948
57	1280	927
58	1304	906
59	1328	885
60	1353	865
61	1380	846
62	1402	823
63	1423	800
64	1445	778
65	1468	756
66	1488	733
67	1511	711
68	1532	688
69	1554	666
70	1575	643
71	1595	620
72	1617	598
73	1640	576
74	1661	553
75	1683	531
76	1705	509
77	1726	487
78	1748	464
79	1770	442
80	1796	421
81	1822	399
82	1845	377
83	1867	355
84	1892	333
85	1922	312
86	1945	290
87	1970	268
88	1997	246
89	2024	224
90	2049	202
91	2075	180
92	2105	158
93	2132	136
94	2152	113
95	2175	90
96	2198	67
97	2226	45
98	2251	22
99	2273	0
